protein_id	specie
HIN_065428	HI
HIN_065445	HI
HIN_067180	HI
HIN_067482	HI
HIN_076350	HI
HIN_077623	HI
HIN_084439	HI
HIN_084441	HI
HIN_085519	HI
HIN_085521	HI
HIN_086307	HI
HIN_086310	HI
HIN_092919	HI
HIN_092922	HI
HIN_092925	HI
HIN_099329	HI
HIN_028901	HI
HIN_028914	HI
HIN_028936	HI
HIN_053737	HI
HIN_053831	HI
HIN_053861	HI
HIN_053868	HI
HIN_053874	HI
HIN_056897	HI
HIN_056914	HI
HIN_056926	HI
HIN_056930	HI
HIN_074084	HI
HIN_074087	HI
HIN_074100	HI
HIN_081817	HI
HIN_082441	HI
HIN_085921	HI
HIN_097095	HI
HIN_098286	HI
HIN_000607	HI
HIN_009977	HI
HIN_022362	HI
HIN_029748	HI
HIN_030229	HI
HIN_048521	HI
HIN_064373	HI
HIN_074355	HI
HIN_092859	HI
HIN_014118	HI
HIN_017867	HI
HIN_023081	HI
HIN_074474	HI
HIN_094365	HI
HIN_022237	HI
HIN_035514	HI
HIN_036738	HI
HIN_044421	HI
HIN_045413	HI
HIN_048957	HI
HIN_059354	HI
HIN_000593	HI
HIN_021636	HI
HIN_021641	HI
HIN_021643	HI
HIN_021731	HI
HIN_021741	HI
HIN_021743	HI
HIN_021750	HI
HIN_035076	HI
HIN_035079	HI
HIN_035196	HI
HIN_035199	HI
HIN_035213	HI
HIN_035215	HI
HIN_061082	HI
HIN_061086	HI
HIN_061100	HI
HIN_061103	HI
HIN_063280	HI
HIN_063283	HI
HIN_063286	HI
HIN_075526	HI
HIN_075529	HI
HIN_075533	HI
HIN_075536	HI
HIN_081064	HI
HIN_081069	HI
HIN_081072	HI
HIN_081082	HI
HIN_082247	HI
HIN_082249	HI
HIN_085828	HI
HIN_085834	HI
HIN_085993	HI
HIN_085996	HI
HIN_100959	HI
HIN_012767	HI
HIN_019172	HI
HIN_026420	HI
HIN_026515	HI
HIN_026522	HI
HIN_028424	HI
HIN_028425	HI
HIN_029115	HI
HIN_049514	HI
HIN_049537	HI
HIN_053108	HI
HIN_053129	HI
HIN_061358	HI
HIN_062144	HI
HIN_066903	HI
HIN_066904	HI
HIN_068103	HI
HIN_068120	HI
HIN_080848	HI
HIN_083948	HI
HIN_006595	HI
