protein_id	specie
HIN_094777	hin
HIN_100919	hin
HIN_016149	hin
HIN_033127	hin
HIN_033161	hin
HIN_033665	hin
HIN_042683	hin
HIN_042710	hin
HIN_069089	hin
HIN_082681	hin
HIN_093731	hin
HIN_008000	hin
HIN_008011	hin
HIN_014234	hin
HIN_041102	hin
HIN_041124	hin
HIN_028198	hin
HIN_028204	hin
HIN_085031	hin
HIN_085032	hin
HIN_085034	hin
HIN_095002	hin
HIN_095004	hin
HIN_096036	hin
HIN_096037	hin
HIN_030206	hin
HIN_030214	hin
HIN_038439	hin
HIN_038453	hin
HIN_050438	hin
HIN_050447	hin
HIN_050457	hin
HIN_059743	hin
HIN_059752	hin
HIN_033111	hin
HIN_033633	hin
HIN_033647	hin
HIN_042645	hin
HIN_042657	hin
HIN_042661	hin
HIN_068351	hin
HIN_068357	hin
HIN_069063	hin
HIN_039287	hin
HIN_055406	hin
HIN_055414	hin
HIN_063904	hin
HIN_063911	hin
HIN_073453	hin
HIN_073460	hin
HIN_074729	hin
HIN_074735	hin
HIN_008144	hin
HIN_011413	hin
HIN_022178	hin
HIN_042959	hin
HIN_042966	hin
HIN_045451	hin
HIN_052269	hin
HIN_067452	hin
HIN_100073	hin
HIN_011400	hin
HIN_011409	hin
HIN_052257	hin
HIN_052265	hin
HIN_083404	hin
HIN_083411	hin
HIN_095267	hin
HIN_100068	hin
HIN_100070	hin
HIN_028787	hin
HIN_040712	hin
HIN_040728	hin
HIN_052069	hin
HIN_052101	hin
HIN_099050	hin
HIN_100994	hin
HIN_028297	hin
HIN_028197	hin
HIN_063216	hin
HIN_082313	hin
HIN_085030	hin
HIN_095001	hin
HIN_095003	hin
HIN_096035	hin
HIN_085514	hin
HIN_084017	hin
HIN_084020	hin
HIN_006662	hin
HIN_016294	hin
HIN_016301	hin
HIN_040571	hin
HIN_040576	hin
HIN_073991	hin
HIN_092870	hin
HIN_028415	hin
HIN_043181	hin
HIN_053117	hin
HIN_062153	hin
HIN_080852	hin
HIN_083936	hin
HIN_003731	hin
HIN_003740	hin
HIN_029955	hin
HIN_029964	hin
HIN_050871	hin
HIN_050882	hin
HIN_084173	hin
HIN_084185	hin
HIN_006609	hin
HIN_006614	hin
HIN_008114	hin
HIN_055995	hin
HIN_056001	hin
HIN_073295	hin
HIN_073301	hin
HIN_008419	hin
HIN_055132	hin
HIN_060204	hin
HIN_066768	hin
HIN_083165	hin
HIN_088128	hin
HIN_088140	hin
HIN_008051	hin
HIN_008055	hin
HIN_014180	hin
HIN_014187	hin
HIN_041063	hin
HIN_041068	hin
HIN_041072	hin
HIN_076557	hin
HIN_014021	hin
